Recursive,Memoization,Dynamic
1,2,3
8,12,11
43,38,31
218,80,63
1121,138,107
5888,212,163
31459,302,231
170234,408,311
930049,530,403
5118968,668,507
28341083,822,623
157663514,992,751
0,3242,2443
0,20102,15103
0,80202,60203
0,320402,240403
0,2001002,1501003
0,8002002,6002003
